txn_id,customer_id,amount,method,status,failure_code,retry_count,created_at
pay_00000,cust_0032,1499,card,failed,otp_timeout,0,2026-08-13T18:54:09.226156
pay_00001,cust_0115,99,netbanking,success,,0,2026-09-03T18:54:09.226156
pay_00002,cust_0028,999,card,failed,insufficient_funds,2,2026-08-17T18:54:09.226156
pay_00003,cust_0092,99,netbanking,success,,0,2026-08-14T18:54:09.226156
pay_00004,cust_0036,999,card,failed,card_expired,0,2026-08-14T18:54:09.226156
pay_00005,cust_0098,499,upi,failed,insufficient_funds,0,2026-09-03T18:54:09.226156
pay_00006,cust_0078,499,upi,failed,otp_timeout,0,2026-08-13T18:54:09.226156
pay_00007,cust_0119,499,upi,success,,0,2026-09-03T18:54:09.226156
pay_00008,cust_0114,999,upi,failed,bank_downtime,2,2026-08-30T18:54:09.226156
pay_00009,cust_0099,1499,upi,failed,risk_blocked,0,2026-08-09T18:54:09.226156
pay_00010,cust_0049,199,upi,success,,0,2026-08-22T18:54:09.226156
pay_00011,cust_0021,1499,upi,success,,0,2026-08-25T18:54:09.226156
pay_00012,cust_0090,199,netbanking,success,,0,2026-08-16T18:54:09.226156
pay_00013,cust_0022,99,netbanking,success,,0,2026-08-13T18:54:09.226156
pay_00014,cust_0119,199,netbanking,failed,card_expired,2,2026-08-19T18:54:09.226156
pay_00015,cust_0108,199,card,success,,0,2026-08-29T18:54:09.226156
pay_00016,cust_0035,2499,card,failed,card_expired,0,2026-08-07T18:54:09.226156
pay_00017,cust_0041,999,card,success,,0,2026-08-16T18:54:09.226156
pay_00018,cust_0059,499,card,failed,network_error,1,2026-09-01T18:54:09.226156
pay_00019,cust_0069,199,upi,success,,0,2026-08-13T18:54:09.226156
pay_00020,cust_0047,999,card,failed,bank_downtime,0,2026-08-20T18:54:09.226156
pay_00021,cust_0015,499,card,failed,insufficient_funds,2,2026-08-31T18:54:09.226156
pay_00022,cust_0077,2499,card,success,,0,2026-08-24T18:54:09.226156
pay_00023,cust_0060,499,netbanking,success,,0,2026-08-28T18:54:09.226156
pay_00024,cust_0002,999,netbanking,success,,0,2026-08-13T18:54:09.226156
pay_00025,cust_0069,99,upi,success,,0,2026-08-12T18:54:09.226156
pay_00026,cust_0021,1499,upi,failed,insufficient_funds,0,2026-08-06T18:54:09.226156
pay_00027,cust_0034,1499,netbanking,success,,0,2026-08-12T18:54:09.226156
pay_00028,cust_0014,199,netbanking,success,,0,2026-08-27T18:54:09.226156
pay_00029,cust_0078,2499,card,success,,0,2026-09-01T18:54:09.226156
pay_00030,cust_0070,299,netbanking,success,,0,2026-08-07T18:54:09.226156
pay_00031,cust_0063,99,card,success,,0,2026-09-02T18:54:09.226156
pay_00032,cust_0107,299,upi,success,,0,2026-08-29T18:54:09.226156
