txn_id,cause,outcome,attempts,recovered_amount
pay_00000,otp_timeout,recovered,2,1499.0
pay_00002,insufficient_funds,recovered,2,999.0
pay_00004,card_expired,recovered,3,999.0
pay_00005,insufficient_funds,recovered,2,499.0
pay_00006,otp_timeout,recovered,2,499.0
pay_00008,bank_downtime,recovered,1,999.0
pay_00009,risk_blocked,escalated,0,0.0
pay_00014,card_expired,recovered,3,199.0
pay_00016,card_expired,recovered,1,2499.0
pay_00018,network_error,escalated,3,0.0
pay_00020,bank_downtime,recovered,3,999.0
pay_00021,insufficient_funds,recovered,3,499.0
pay_00026,insufficient_funds,recovered,1,1499.0
pay_00033,bank_downtime,recovered,1,99.0
pay_00034,otp_timeout,recovered,2,2499.0
pay_00039,insufficient_funds,escalated,3,0.0
pay_00040,insufficient_funds,recovered,2,999.0
pay_00045,card_expired,recovered,1,99.0
pay_00046,risk_blocked,escalated,0,0.0
pay_00047,network_error,recovered,1,1499.0
pay_00048,insufficient_funds,escalated,3,0.0
pay_00052,card_expired,recovered,3,499.0
pay_00053,otp_timeout,recovered,3,499.0
pay_00055,insufficient_funds,escalated,3,0.0
pay_00059,network_error,recovered,2,999.0
pay_00062,otp_timeout,recovered,2,299.0
pay_00066,network_error,recovered,1,999.0
pay_00067,otp_timeout,recovered,2,299.0
pay_00069,network_error,recovered,1,1499.0
pay_00070,insufficient_funds,recovered,1,999.0
pay_00073,insufficient_funds,escalated,3,0.0
pay_00074,card_expired,recovered,2,299.0
pay_00075,network_error,escalated,3,0.0
pay_00076,bank_downtime,escalated,3,0.0
pay_00078,insufficient_funds,recovered,3,299.0
pay_00079,bank_downtime,escalated,3,0.0
pay_00080,card_expired,recovered,2,2499.0
pay_00082,otp_timeout,recovered,3,199.0
pay_00083,otp_timeout,recovered,2,499.0
pay_00085,insufficient_funds,recovered,1,199.0
pay_00086,network_error,recovered,1,999.0
pay_00087,network_error,recovered,2,299.0
pay_00088,otp_timeout,recovered,1,499.0
pay_00090,bank_downtime,recovered,3,1499.0
pay_00098,insufficient_funds,escalated,3,0.0
pay_00101,bank_downtime,recovered,3,1499.0
pay_00106,card_expired,escalated,3,0.0
pay_00108,otp_timeout,recovered,2,499.0
pay_00109,otp_timeout,recovered,1,999.0
pay_00112,network_error,recovered,1,999.0
pay_00114,otp_timeout,recovered,1,1499.0
pay_00115,insufficient_funds,recovered,3,499.0
pay_00116,insufficient_funds,recovered,1,999.0
pay_00117,card_expired,escalated,3,0.0
pay_00119,network_error,escalated,3,0.0
pay_00120,card_expired,recovered,3,299.0
pay_00122,card_expired,escalated,3,0.0
pay_00123,insufficient_funds,escalated,3,0.0
pay_00125,card_expired,recovered,1,99.0
pay_00126,insufficient_funds,recovered,2,299.0
pay_00129,insufficient_funds,recovered,1,299.0
pay_00130,insufficient_funds,recovered,1,199.0
pay_00131,network_error,recovered,1,1499.0
pay_00132,bank_downtime,recovered,2,299.0
pay_00133,card_expired,recovered,1,2499.0
pay_00135,bank_downtime,recovered,1,1499.0
pay_00137,network_error,recovered,1,2499.0
pay_00139,card_expired,recovered,2,299.0
pay_00141,otp_timeout,recovered,3,199.0
pay_00144,card_expired,recovered,1,99.0
pay_00145,insufficient_funds,recovered,3,1499.0
pay_00146,insufficient_funds,escalated,3,0.0
pay_00154,insufficient_funds,recovered,2,299.0
pay_00156,card_expired,recovered,1,199.0
pay_00158,card_expired,recovered,2,199.0
pay_00161,insufficient_funds,recovered,2,2499.0
